Account Number,Service Address,Meter Number,Rate Class,Read Date From,Read Date To,Days,Read Type,Billed kWh,On-Peak kWh,Off-Peak kWh,Demand kW,Total Charges,Currency
ACCT-001,350 Fifth Avenue New York NY 10118,MTR-A001,SC-9 Rate I,10/15/2024,11/14/2024,31,A,42500,28100,14400,185,6375.00,USD
ACCT-001,350 Fifth Avenue New York NY 10118,MTR-A002,SC-9 Rate I,10/15/2024,11/14/2024,31,A,18200,12300,5900,95,2730.00,USD
ACCT-002,100 Peachtree St NW Atlanta GA 30303,MTR-B001,GS-7,10/18/2024,11/17/2024,31,A,31000,,,142,4340.00,USD
ACCT-002,100 Peachtree St NW Atlanta GA 30303,MTR-B002,GS-7,10/18/2024,11/17/2024,31,E,8500,,,45,1190.00,USD
ACCT-003,1 Market Street San Francisco CA 94105,MTR-C001,A-10,10/12/2024,11/11/2024,31,A,55000,35000,20000,230,9350.00,USD
ACCT-001,350 Fifth Avenue New York NY 10118,MTR-A001,SC-9 Rate I,11/14/2024,12/15/2024,32,A,44800,30200,14600,192,6720.00,USD
ACCT-001,350 Fifth Avenue New York NY 10118,MTR-A002,SC-9 Rate I,11/14/2024,12/15/2024,32,A,19100,13000,6100,98,2865.00,USD
ACCT-003,1 Market Street San Francisco CA 94105,MTR-C001,A-10,11/11/2024,12/10/2024,30,A,51200,33000,18200,225,8704.00,USD
ACCT-004,50 Milk Street Boston MA 02109,MTR-D001,G-2,10/20/2024,11/19/2024,31,A,12400,,,68,1860.00,USD
ACCT-002,100 Peachtree St NW Atlanta GA 30303,MTR-B001,GS-7,11/17/2024,12/17/2024,31,A,28500,,,138,3990.00,USD
