Belegnummer;Position;Buchungsdatum;Werk;Materialnummer;Materialkurztext;Materialgruppe;Sachkonto;Menge;Mengeneinheit;Nettowert;Währung;Lieferant;Buchungskreis
4500001001;10;20241015;1010;MAT-D001;Diesel EN590 Bulk;FUEL01;400100;12500;L;18750,00;EUR;V100001;1000
4500001001;20;20241015;1010;MAT-P001;Bleifrei Super 95;FUEL02;400110;3200;L;4800,00;EUR;V100001;1000
4500001002;10;20241023;2010;MAT-D001;Diesel EN590 Bulk;FUEL01;400100;8500;L;12750,00;EUR;V200001;2000
4500001002;20;20241023;2010;MAT-L001;Flüssiggas Autogas;FUEL03;400120;1200;L;960,00;EUR;V200001;2000
4500001003;10;20241105;3010;MAT-D002;Diesel #2 ULSD;FUEL01;400100;15000;USG;52500,00;USD;V300001;3000
4500001003;20;20241105;3010;MAT-NG01;Natural Gas Pipeline;NG01;400140;4500;M3;9000,00;USD;V300002;3000
4500001004;10;20241112;1020;MAT-MISC;Misc Consumables;MISC;400100;2000;L;3400,00;EUR;V100003;1000
4500001005;10;20241118;4010;MAT-D001;Diesel EN590 Bulk;FUEL01;400100;6000;L;9000,00;EUR;V400001;4000
4500001006;10;20241122;1010;MAT-D001;Diesel EN590 Bulk;FUEL01;400100;500,00-;L;750,00-;EUR;V100001;1000
4500001007;10;20241130;2020;MAT-HO01;Heizöl EL Standard;HO01;400130;3500;L;5250,00;EUR;V200002;2000
4500001008;10;20241205;3020;MAT-PUMP;Fuel Pump Maintenance;SVCS;;0;EA;2800,00;USD;V300003;3000
4500001009;10;20241210;2010;FG-12345;Betriebsstoff allgemein;ZMISC;400100;1800;KG;2700,00;EUR;V200001;2000
